Anaa Airport,OC,PF,AAA
Arrabury Airport,OC,AU,AAB
El Arish International Airport,AS,EG,AAC
Adado Airport,AF,SO,AAD
Rabah Bitat Airport,AF,DZ,AAE
Apalachicola Regional Airport,NA,US,AAF
Arapoti Airport,SA,BR,AAG
Aachen-Merzbr�_ck Airport,EU,DE,AAH
Arraias Airport,SA,BR,AAI
Cayana Airstrip,SA,SR,AAJ
Buariki Airport,OC,KI,AAK
Aalborg Airport,EU,DK,AAL
Malamala Airport,AF,ZA,AAM
Al Ain International Airport,AS,AE,AAN
Anaco Airport,SA,VE,AAO
Andrau Airpark,NA,US,AAP
Anapa Vityazevo Airport,EU,RU,AAQ
Aarhus Airport,EU,DK,AAR
Apalapsili Airport,AS,ID,AAS
Altay Air Base,AS,CN,AAT
Asau Airport,OC,WS,AAU
Allah Valley Airport,AS,PH,AAV
Romeu Zema Airport,SA,BR,AAX
Al Ghaidah International Airport,AS,YE,AAY
Quezaltenango Airport,NA,GT,AAZ
Abakan Airport,AS,RU,ABA
Asaba International Airport,AF,NG,ABB
Albacete-Los Llanos Airport,EU,ES,ABC
Abadan Airport,AS,IR,ABD
Lehigh Valley International Airport,NA,US,ABE
Abaiang Airport,OC,KI,ABF
Abingdon Downs Airport,OC,AU,ABG
Alpha Airport,OC,AU,ABH
Abilene Regional Airport,NA,US,ABI
Port Bouet Airport,AF,CI,ABJ
Kabri Dehar Airport,AF,ET,ABK
Ambler Airport,NA,US,ABL
Northern Peninsula Airport,OC,AU,ABM
Albina Airport,SA,SR,ABN
Aboisso Airport,AF,CI,ABO
Atkamba Airport,OC,PG,ABP
Albuquerque International Sunport Airport,NA,US,ABQ
Aberdeen Regional Airport,NA,US,ABR
Abu Simbel Airport,AF,EG,ABS
Al Baha Airport,AS,SA,ABT
Haliwen Airport,AS,ID,ABU
Nnamdi Azikiwe International Airport,AF,NG,ABV
Abau Airport,OC,PG,ABW
Albury Airport,OC,AU,ABX
Southwest Georgia Regional Airport,NA,US,ABY
Aberdeen Dyce Airport,EU,GB,ABZ
General Juan N Alvarez International Airport,NA,MX,ACA
Antrim County Airport,NA,US,ACB
Kotoka International Airport,AF,GH,ACC
Alcides Fern��ndez Airport,SA,CO,ACD
Lanzarote Airport,EU,ES,ACE
Brisbane Archerfield Airport,OC,AU,ACF
St Gallen Altenrhein Airport,EU,CH,ACH
Alderney Airport,EU,GG,ACI
Anuradhapura Air Force Base,AS,LK,ACJ
Nantucket Memorial Airport,NA,US,ACK
Aguaclara Airport,SA,CO,ACL
Arica Airport,SA,CO,ACM
Ciudad Acu̱a New International Airport,NA,MX,ACN
Ascona Airport,EU,CH,ACO
Sahand Airport,AS,IR,ACP
Araracuara Airport,SA,CO,ACR
Achinsk Airport,AS,RU,ACS
Waco Regional Airport,NA,US,ACT
Achutupo Airport,NA,PA,ACU
California Redwood Coast-Humboldt County Airport,NA,US,ACV
Xingyi Airport,AS,CN,ACX
Atlantic City International Airport,NA,US,ACY
Zabol Airport,AS,IR,ACZ
Adana Airport,AS,TR,ADA
Adnan Menderes International Airport,AS,TR,ADB
Andakombe Airport,OC,PG,ADC
Addis Ababa Bole International Airport,AF,ET,ADD
Aden International Airport,AS,YE,ADE
Ad��yaman Airport,AS,TR,ADF
Lenawee County Airport,NA,US,ADG
Aldan Airport,AS,RU,ADH
Arandis Airport,AF,NA,ADI
Amman-Marka International Airport,AS,JO,ADJ
Adak Airport,NA,US,ADK
Adelaide International Airport,OC,AU,ADL
Ardmore Municipal Airport,NA,US,ADM
Andes Airport,SA,CO,ADN
Andamooka Airport,OC,AU,ADO
Ampara Airport,AS,LK,ADP
Kodiak Airport,NA,US,ADQ
Robert F Swinnie Airport,NA,US,ADR
Addison Airport,NA,US,ADS
Ada Regional Airport,NA,US,ADT
Ardabil Airport,AS,IR,ADU
El Daein Airport,AF,SD,ADV
Andrews Air Force Base,NA,US,ADW
RAF Leuchars,EU,GB,ADX
Alldays Airport,AF,ZA,ADY
Gustavo Rojas Pinilla International Airport,SA,CO,ADZ
Abemama Atoll Airport,OC,KI,AEA
Baise Youjiang Airport,AS,CN,AEB
Adareil Airport,AF,SS,AEE
Aek Godang Airport,AS,ID,AEG
Abeche Airport,AF,TD,AEH
Algeciras Heliport,EU,ES,AEI
Aseki Airport,OC,PG,AEK
Albert Lea Municipal Airport,NA,US,AEL
Amgu Airport,EU,RU,AEM
Aioun el Atrouss Airport,AF,MR,AEO
Jorge Newbery Airpark,SA,AR,AEP
Sochi International Airport,EU,RU,AER
��lesund Airport,EU,NO,AES
Allakaket Airport,NA,US,AET
Abumusa Island Airport,AS,IR,AEU
Alexandria International Airport,NA,US,AEX
Akureyri Airport,EU,IS,AEY
Suboficial Ay Santiago Germano Airport,SA,AR,AFA
Port Alfred Airport,AF,ZA,AFD
USAF Academy Airfield,NA,US,AFF
Amalfi Airport,SA,CO,AFI
Kondavattavana Tank Seaplane Base,AS,LK,AFK
Piloto Osvaldo Marques Dias Airport,SA,BR,AFL
Jaffrey Airport Silver Ranch Airport,NA,US,AFN
Afton Municipal Airport,NA,US,AFO
Afore Airstrip,OC,PG,AFR
Sugraly Airport,AS,UZ,AFS
Afutara Aerodrome,OC,SB,AFT
Fort Worth Alliance Airport,NA,US,AFW
Afyon Airport,AS,TR,AFY
Sabzevar National Airport,AS,IR,AFZ
Al Massira Airport,AF,MA,AGA
Augsburg Airport,EU,DE,AGB
Allegheny County Airport,NA,US,AGC
Anggi Airport,AS,ID,AGD
Wangerooge Airport,EU,DE,AGE
Agen-La Garenne Airport,EU,FR,AGF
Angoram Airport,OC,PG,AGG
��ngelholm-Helsingborg Airport,EU,SE,AGH
Wageningen Airstrip,SA,SR,AGI
Aguni Airport,AS,JP,AGJ
Kagua Airport,OC,PG,AGK
Wanigela Airport,OC,PG,AGL
Angoon Seaplane Base,NA,US,AGN
Magnolia Municipal Airport,NA,US,AGO
M��laga Airport,EU,ES,AGP
Agrinion Air Base,EU,GR,AGQ
Agra Airport,AS,IN,AGR
Augusta Regional At Bush Field,NA,US,AGS
Guarani International Airport,SA,PY,AGT
Jes̼s Ter��n Paredo International Airport,NA,MX,AGU
Oswaldo Guevara Mujica Airport,SA,VE,AGV
Agnew Airport,OC,AU,AGW
Agatti Airport,AS,IN,AGX
Argyle Downs Airport,OC,AU,AGY
Aggeneys Airport,AF,ZA,AGZ
Abha Regional Airport,AS,SA,AHB
Amedee Army Air Field,NA,US,AHC
Ardmore Downtown Executive Airport,NA,US,AHD
Ahe Airport,OC,PF,AHE
Arapahoe Municipal Airport,NA,US,AHF
Amery Municipal Airport,NA,US,AHH
Amahai Airport,AS,ID,AHI
Hongyuan Airport,AS,CN,AHJ
Aishalton Airport,SA,GY,AHL
Ashland Municipal Sumner Parker Field,NA,US,AHM
Athens Ben Epps Airport,NA,US,AHN
Alghero-Fertilia Airport,EU,IT,AHO
Ahuas Airport,NA,HN,AHS
Amchitka Army Airfield,NA,US,AHT
Amchitka Army Airfield,NA,US,AHT
Cherif Al Idrissi Airport,AF,MA,AHU
Ambatolhy Airport,AF,MG,AHY
Altiport L'Alpe d'Huez - Henri GIRAUD,EU,FR,AHZ
Alliance Municipal Airport,NA,US,AIA
Ailinglaplap Airok Airport,OC,MH,AIC
Anderson Municipal Darlington Field,NA,US,AID
Aiome Airport,OC,PG,AIE
